,Training wMSE,Validation wMSE
0.0,0.4431975781917572,0.4197256565093994
3e-06,0.4215686917304992,0.4190243184566498
1e-05,0.4212496280670166,0.4131726920604706
3e-05,0.4447264373302459,0.4284599721431732
0.0001,0.4234087169170379,0.4149402678012848
0.0003,0.4292771220207214,0.4158244431018829
0.001,0.4717306494712829,0.4329358637332916
0.003,0.4958711862564087,0.4839562177658081
0.01,0.612908124923706,0.5953894257545471
0.03,0.7727453708648682,0.7520614862442017
0.1,0.9249175786972046,0.9258466958999634
